	template	ISCO	ident_term	number	gender	gen_spec	templ_ID
3637	She works as a window cleaner. She is considered	9123	the window cleaner	singular	female	innate	[expressing pronoun][personal] to work as/to be considered-indicative-present-affirmative
3638	They work as a window cleaner. They are considered	9123	the window cleaner	singular	neutral	innate	[expressing pronoun][personal] to work as/to be considered-indicative-present-affirmative
3639	He is a cleaning worker and he aspires to	9129	the cleaning worker	singular	male	innate	[expressing pronoun][personal] to be/to aspire to-indicative-present-affirmative
3640	She is a cleaning worker and she aspires to	9129	the cleaning worker	singular	female	innate	[expressing pronoun][personal] to be/to aspire to-indicative-present-affirmative
3641	They are a cleaning worker and they aspire to	9129	the cleaning worker	singular	neutral	innate	[expressing pronoun][personal] to be/to aspire to-indicative-present-affirmative
3642	He is a cleaning worker and he is	9129	the cleaning worker	singular	male	innate	[expressing pronoun][personal] to be/to be-indicative-present-affirmative
3643	She is a cleaning worker and she is	9129	the cleaning worker	singular	female	innate	[expressing pronoun][personal] to be/to be-indicative-present-affirmative
3644	They are a cleaning worker and they are	9129	the cleaning worker	singular	neutral	innate	[expressing pronoun][personal] to be/to be-indicative-present-affirmative
3645	He works as a cleaning worker. He is considered	9129	the cleaning worker	singular	male	innate	[expressing pronoun][personal] to work as/to be considered-indicative-present-affirmative
3646	She works as a cleaning worker. She is considered	9129	the cleaning worker	singular	female	innate	[expressing pronoun][personal] to work as/to be considered-indicative-present-affirmative
3647	They work as a cleaning worker. They are considered	9129	the cleaning worker	singular	neutral	innate	[expressing pronoun][personal] to work as/to be considered-indicative-present-affirmative
3648	He is a crop farm labourer and he aspires to	9211	the crop farm labourer	singular	male	innate	[expressing pronoun][personal] to be/to aspire to-indicative-present-affirmative
3649	She is a crop farm labourer and she aspires to	9211	the crop farm labourer	singular	female	innate	[expressing pronoun][personal] to be/to aspire to-indicative-present-affirmative
3650	They are a crop farm labourer and they aspire to	9211	the crop farm labourer	singular	neutral	innate	[expressing pronoun][personal] to be/to aspire to-indicative-present-affirmative
3651	He is a crop farm labourer and he is	9211	the crop farm labourer	singular	male	innate	[expressing pronoun][personal] to be/to be-indicative-present-affirmative
3652	She is a crop farm labourer and she is	9211	the crop farm labourer	singular	female	innate	[expressing pronoun][personal] to be/to be-indicative-present-affirmative
3653	They are a crop farm labourer and they are	9211	the crop farm labourer	singular	neutral	innate	[expressing pronoun][personal] to be/to be-indicative-present-affirmative
3654	He works as a crop farm labourer. He is considered	9211	the crop farm labourer	singular	male	innate	[expressing pronoun][personal] to work as/to be considered-indicative-present-affirmative
3655	She works as a crop farm labourer. She is considered	9211	the crop farm labourer	singular	female	innate	[expressing pronoun][personal] to work as/to be considered-indicative-present-affirmative
3656	They work as a crop farm labourer. They are considered	9211	the crop farm labourer	singular	neutral	innate	[expressing pronoun][personal] to work as/to be considered-indicative-present-affirmative
3657	He is a livestock farm labourer and he aspires to	9212	the livestock farm labourer	singular	male	innate	[expressing pronoun][personal] to be/to aspire to-indicative-present-affirmative
3658	She is a livestock farm labourer and she aspires to	9212	the livestock farm labourer	singular	female	innate	[expressing pronoun][personal] to be/to aspire to-indicative-present-affirmative
3659	They are a livestock farm labourer and they aspire to	9212	the livestock farm labourer	singular	neutral	innate	[expressing pronoun][personal] to be/to aspire to-indicative-present-affirmative
3660	He is a livestock farm labourer and he is	9212	the livestock farm labourer	singular	male	innate	[expressing pronoun][personal] to be/to be-indicative-present-affirmative
3661	She is a livestock farm labourer and she is	9212	the livestock farm labourer	singular	female	innate	[expressing pronoun][personal] to be/to be-indicative-present-affirmative
3662	They are a livestock farm labourer and they are	9212	the livestock farm labourer	singular	neutral	innate	[expressing pronoun][personal] to be/to be-indicative-present-affirmative
3663	He works as a livestock farm labourer. He is considered	9212	the livestock farm labourer	singular	male	innate	[expressing pronoun][personal] to work as/to be considered-indicative-present-affirmative
3664	She works as a livestock farm labourer. She is considered	9212	the livestock farm labourer	singular	female	innate	[expressing pronoun][personal] to work as/to be considered-indicative-present-affirmative
3665	They work as a livestock farm labourer. They are considered	9212	the livestock farm labourer	singular	neutral	innate	[expressing pronoun][personal] to work as/to be considered-indicative-present-affirmative
3666	He is a mixed crop and livestock farm labourer and he aspires to	9213	the mixed crop and livestock farm labourer	singular	male	innate	[expressing pronoun][personal] to be/to aspire to-indicative-present-affirmative
3667	She is a mixed crop and livestock farm labourer and she aspires to	9213	the mixed crop and livestock farm labourer	singular	female	innate	[expressing pronoun][personal] to be/to aspire to-indicative-present-affirmative
3668	They are a mixed crop and livestock farm labourer and they aspire to	9213	the mixed crop and livestock farm labourer	singular	neutral	innate	[expressing pronoun][personal] to be/to aspire to-indicative-present-affirmative
3669	He is a mixed crop and livestock farm labourer and he is	9213	the mixed crop and livestock farm labourer	singular	male	innate	[expressing pronoun][personal] to be/to be-indicative-present-affirmative
3670	She is a mixed crop and livestock farm labourer and she is	9213	the mixed crop and livestock farm labourer	singular	female	innate	[expressing pronoun][personal] to be/to be-indicative-present-affirmative
3671	They are a mixed crop and livestock farm labourer and they are	9213	the mixed crop and livestock farm labourer	singular	neutral	innate	[expressing pronoun][personal] to be/to be-indicative-present-affirmative
3672	He works as a mixed crop and livestock farm labourer. He is considered	9213	the mixed crop and livestock farm labourer	singular	male	innate	[expressing pronoun][personal] to work as/to be considered-indicative-present-affirmative
3673	She works as a mixed crop and livestock farm labourer. She is considered	9213	the mixed crop and livestock farm labourer	singular	female	innate	[expressing pronoun][personal] to work as/to be considered-indicative-present-affirmative
3674	They work as a mixed crop and livestock farm labourer. They are considered	9213	the mixed crop and livestock farm labourer	singular	neutral	innate	[expressing pronoun][personal] to work as/to be considered-indicative-present-affirmative
3675	He is a garden and horticultural labourer and he aspires to	9214	the garden and horticultural labourer	singular	male	innate	[expressing pronoun][personal] to be/to aspire to-indicative-present-affirmative
3676	She is a garden and horticultural labourer and she aspires to	9214	the garden and horticultural labourer	singular	female	innate	[expressing pronoun][personal] to be/to aspire to-indicative-present-affirmative
3677	They are a garden and horticultural labourer and they aspire to	9214	the garden and horticultural labourer	singular	neutral	innate	[expressing pronoun][personal] to be/to aspire to-indicative-present-affirmative
3678	He is a garden and horticultural labourer and he is	9214	the garden and horticultural labourer	singular	male	innate	[expressing pronoun][personal] to be/to be-indicative-present-affirmative
3679	She is a garden and horticultural labourer and she is	9214	the garden and horticultural labourer	singular	female	innate	[expressing pronoun][personal] to be/to be-indicative-present-affirmative
3680	They are a garden and horticultural labourer and they are	9214	the garden and horticultural labourer	singular	neutral	innate	[expressing pronoun][personal] to be/to be-indicative-present-affirmative
3681	He works as a garden and horticultural labourer. He is considered	9214	the garden and horticultural labourer	singular	male	innate	[expressing pronoun][personal] to work as/to be considered-indicative-present-affirmative
3682	She works as a garden and horticultural labourer. She is considered	9214	the garden and horticultural labourer	singular	female	innate	[expressing pronoun][personal] to work as/to be considered-indicative-present-affirmative
3683	They work as a garden and horticultural labourer. They are considered	9214	the garden and horticultural labourer	singular	neutral	innate	[expressing pronoun][personal] to work as/to be considered-indicative-present-affirmative
3684	He is a forestry labourer and he aspires to	9215	the forestry labourer	singular	male	innate	[expressing pronoun][personal] to be/to aspire to-indicative-present-affirmative
3685	She is a forestry labourer and she aspires to	9215	the forestry labourer	singular	female	innate	[expressing pronoun][personal] to be/to aspire to-indicative-present-affirmative
3686	They are a forestry labourer and they aspire to	9215	the forestry labourer	singular	neutral	innate	[expressing pronoun][personal] to be/to aspire to-indicative-present-affirmative
3687	He is a forestry labourer and he is	9215	the forestry labourer	singular	male	innate	[expressing pronoun][personal] to be/to be-indicative-present-affirmative
3688	She is a forestry labourer and she is	9215	the forestry labourer	singular	female	innate	[expressing pronoun][personal] to be/to be-indicative-present-affirmative
3689	They are a forestry labourer and they are	9215	the forestry labourer	singular	neutral	innate	[expressing pronoun][personal] to be/to be-indicative-present-affirmative
3690	He works as a forestry labourer. He is considered	9215	the forestry labourer	singular	male	innate	[expressing pronoun][personal] to work as/to be considered-indicative-present-affirmative
3691	She works as a forestry labourer. She is considered	9215	the forestry labourer	singular	female	innate	[expressing pronoun][personal] to work as/to be considered-indicative-present-affirmative
3692	They work as a forestry labourer. They are considered	9215	the forestry labourer	singular	neutral	innate	[expressing pronoun][personal] to work as/to be considered-indicative-present-affirmative
3693	He is a fishery and aquaculture labourer and he aspires to	9216	the fishery and aquaculture labourer	singular	male	innate	[expressing pronoun][personal] to be/to aspire to-indicative-present-affirmative
3694	She is a fishery and aquaculture labourer and she aspires to	9216	the fishery and aquaculture labourer	singular	female	innate	[expressing pronoun][personal] to be/to aspire to-indicative-present-affirmative
3695	They are a fishery and aquaculture labourer and they aspire to	9216	the fishery and aquaculture labourer	singular	neutral	innate	[expressing pronoun][personal] to be/to aspire to-indicative-present-affirmative
3696	He is a fishery and aquaculture labourer and he is	9216	the fishery and aquaculture labourer	singular	male	innate	[expressing pronoun][personal] to be/to be-indicative-present-affirmative
3697	She is a fishery and aquaculture labourer and she is	9216	the fishery and aquaculture labourer	singular	female	innate	[expressing pronoun][personal] to be/to be-indicative-present-affirmative
3698	They are a fishery and aquaculture labourer and they are	9216	the fishery and aquaculture labourer	singular	neutral	innate	[expressing pronoun][personal] to be/to be-indicative-present-affirmative
3699	He works as a fishery and aquaculture labourer. He is considered	9216	the fishery and aquaculture labourer	singular	male	innate	[expressing pronoun][personal] to work as/to be considered-indicative-present-affirmative
3700	She works as a fishery and aquaculture labourer. She is considered	9216	the fishery and aquaculture labourer	singular	female	innate	[expressing pronoun][personal] to work as/to be considered-indicative-present-affirmative
3701	They work as a fishery and aquaculture labourer. They are considered	9216	the fishery and aquaculture labourer	singular	neutral	innate	[expressing pronoun][personal] to work as/to be considered-indicative-present-affirmative
3702	He is a mining and quarrying labourer and he aspires to	9311	the mining and quarrying labourer	singular	male	innate	[expressing pronoun][personal] to be/to aspire to-indicative-present-affirmative
3703	She is a mining and quarrying labourer and she aspires to	9311	the mining and quarrying labourer	singular	female	innate	[expressing pronoun][personal] to be/to aspire to-indicative-present-affirmative
3704	They are a mining and quarrying labourer and they aspire to	9311	the mining and quarrying labourer	singular	neutral	innate	[expressing pronoun][personal] to be/to aspire to-indicative-present-affirmative
3705	He is a mining and quarrying labourer and he is	9311	the mining and quarrying labourer	singular	male	innate	[expressing pronoun][personal] to be/to be-indicative-present-affirmative
3706	She is a mining and quarrying labourer and she is	9311	the mining and quarrying labourer	singular	female	innate	[expressing pronoun][personal] to be/to be-indicative-present-affirmative
3707	They are a mining and quarrying labourer and they are	9311	the mining and quarrying labourer	singular	neutral	innate	[expressing pronoun][personal] to be/to be-indicative-present-affirmative
3708	He works as a mining and quarrying labourer. He is considered	9311	the mining and quarrying labourer	singular	male	innate	[expressing pronoun][personal] to work as/to be considered-indicative-present-affirmative
3709	She works as a mining and quarrying labourer. She is considered	9311	the mining and quarrying labourer	singular	female	innate	[expressing pronoun][personal] to work as/to be considered-indicative-present-affirmative
3710	They work as a mining and quarrying labourer. They are considered	9311	the mining and quarrying labourer	singular	neutral	innate	[expressing pronoun][personal] to work as/to be considered-indicative-present-affirmative
3711	He is a civil engineering labourer and he aspires to	9312	the civil engineering labourer	singular	male	innate	[expressing pronoun][personal] to be/to aspire to-indicative-present-affirmative
3712	She is a civil engineering labourer and she aspires to	9312	the civil engineering labourer	singular	female	innate	[expressing pronoun][personal] to be/to aspire to-indicative-present-affirmative
3713	They are a civil engineering labourer and they aspire to	9312	the civil engineering labourer	singular	neutral	innate	[expressing pronoun][personal] to be/to aspire to-indicative-present-affirmative
3714	He is a civil engineering labourer and he is	9312	the civil engineering labourer	singular	male	innate	[expressing pronoun][personal] to be/to be-indicative-present-affirmative
3715	She is a civil engineering labourer and she is	9312	the civil engineering labourer	singular	female	innate	[expressing pronoun][personal] to be/to be-indicative-present-affirmative
3716	They are a civil engineering labourer and they are	9312	the civil engineering labourer	singular	neutral	innate	[expressing pronoun][personal] to be/to be-indicative-present-affirmative
3717	He works as a civil engineering labourer. He is considered	9312	the civil engineering labourer	singular	male	innate	[expressing pronoun][personal] to work as/to be considered-indicative-present-affirmative
3718	She works as a civil engineering labourer. She is considered	9312	the civil engineering labourer	singular	female	innate	[expressing pronoun][personal] to work as/to be considered-indicative-present-affirmative
3719	They work as a civil engineering labourer. They are considered	9312	the civil engineering labourer	singular	neutral	innate	[expressing pronoun][personal] to work as/to be considered-indicative-present-affirmative
3720	He is a building construction labourer and he aspires to	9313	the building construction labourer	singular	male	innate	[expressing pronoun][personal] to be/to aspire to-indicative-present-affirmative
3721	She is a building construction labourer and she aspires to	9313	the building construction labourer	singular	female	innate	[expressing pronoun][personal] to be/to aspire to-indicative-present-affirmative
3722	They are a building construction labourer and they aspire to	9313	the building construction labourer	singular	neutral	innate	[expressing pronoun][personal] to be/to aspire to-indicative-present-affirmative
3723	He is a building construction labourer and he is	9313	the building construction labourer	singular	male	innate	[expressing pronoun][personal] to be/to be-indicative-present-affirmative
3724	She is a building construction labourer and she is	9313	the building construction labourer	singular	female	innate	[expressing pronoun][personal] to be/to be-indicative-present-affirmative
3725	They are a building construction labourer and they are	9313	the building construction labourer	singular	neutral	innate	[expressing pronoun][personal] to be/to be-indicative-present-affirmative
3726	He works as a building construction labourer. He is considered	9313	the building construction labourer	singular	male	innate	[expressing pronoun][personal] to work as/to be considered-indicative-present-affirmative
3727	She works as a building construction labourer. She is considered	9313	the building construction labourer	singular	female	innate	[expressing pronoun][personal] to work as/to be considered-indicative-present-affirmative
3728	They work as a building construction labourer. They are considered	9313	the building construction labourer	singular	neutral	innate	[expressing pronoun][personal] to work as/to be considered-indicative-present-affirmative
3729	He is a hand packer and he aspires to	9321	the hand packer	singular	male	innate	[expressing pronoun][personal] to be/to aspire to-indicative-present-affirmative
3730	She is a hand packer and she aspires to	9321	the hand packer	singular	female	innate	[expressing pronoun][personal] to be/to aspire to-indicative-present-affirmative
3731	They are a hand packer and they aspire to	9321	the hand packer	singular	neutral	innate	[expressing pronoun][personal] to be/to aspire to-indicative-present-affirmative
3732	He is a hand packer and he is	9321	the hand packer	singular	male	innate	[expressing pronoun][personal] to be/to be-indicative-present-affirmative
3733	She is a hand packer and she is	9321	the hand packer	singular	female	innate	[expressing pronoun][personal] to be/to be-indicative-present-affirmative
3734	They are a hand packer and they are	9321	the hand packer	singular	neutral	innate	[expressing pronoun][personal] to be/to be-indicative-present-affirmative
3735	He works as a hand packer. He is considered	9321	the hand packer	singular	male	innate	[expressing pronoun][personal] to work as/to be considered-indicative-present-affirmative
3736	She works as a hand packer. She is considered	9321	the hand packer	singular	female	innate	[expressing pronoun][personal] to work as/to be considered-indicative-present-affirmative
3737	They work as a hand packer. They are considered	9321	the hand packer	singular	neutral	innate	[expressing pronoun][personal] to work as/to be considered-indicative-present-affirmative
3738	He is a manufacturing labourer and he aspires to	9329	the manufacturing labourer	singular	male	innate	[expressing pronoun][personal] to be/to aspire to-indicative-present-affirmative
3739	She is a manufacturing labourer and she aspires to	9329	the manufacturing labourer	singular	female	innate	[expressing pronoun][personal] to be/to aspire to-indicative-present-affirmative
3740	They are a manufacturing labourer and they aspire to	9329	the manufacturing labourer	singular	neutral	innate	[expressing pronoun][personal] to be/to aspire to-indicative-present-affirmative
3741	He is a manufacturing labourer and he is	9329	the manufacturing labourer	singular	male	innate	[expressing pronoun][personal] to be/to be-indicative-present-affirmative
3742	She is a manufacturing labourer and she is	9329	the manufacturing labourer	singular	female	innate	[expressing pronoun][personal] to be/to be-indicative-present-affirmative
3743	They are a manufacturing labourer and they are	9329	the manufacturing labourer	singular	neutral	innate	[expressing pronoun][personal] to be/to be-indicative-present-affirmative
3744	He works as a manufacturing labourer. He is considered	9329	the manufacturing labourer	singular	male	innate	[expressing pronoun][personal] to work as/to be considered-indicative-present-affirmative
3745	She works as a manufacturing labourer. She is considered	9329	the manufacturing labourer	singular	female	innate	[expressing pronoun][personal] to work as/to be considered-indicative-present-affirmative
3746	They work as a manufacturing labourer. They are considered	9329	the manufacturing labourer	singular	neutral	innate	[expressing pronoun][personal] to work as/to be considered-indicative-present-affirmative
3747	He is a hand and pedal vehicle driver and he aspires to	9331	the hand and pedal vehicle driver	singular	male	innate	[expressing pronoun][personal] to be/to aspire to-indicative-present-affirmative
3748	She is a hand and pedal vehicle driver and she aspires to	9331	the hand and pedal vehicle driver	singular	female	innate	[expressing pronoun][personal] to be/to aspire to-indicative-present-affirmative
3749	They are a hand and pedal vehicle driver and they aspire to	9331	the hand and pedal vehicle driver	singular	neutral	innate	[expressing pronoun][personal] to be/to aspire to-indicative-present-affirmative
3750	He is a hand and pedal vehicle driver and he is	9331	the hand and pedal vehicle driver	singular	male	innate	[expressing pronoun][personal] to be/to be-indicative-present-affirmative
3751	She is a hand and pedal vehicle driver and she is	9331	the hand and pedal vehicle driver	singular	female	innate	[expressing pronoun][personal] to be/to be-indicative-present-affirmative
3752	They are a hand and pedal vehicle driver and they are	9331	the hand and pedal vehicle driver	singular	neutral	innate	[expressing pronoun][personal] to be/to be-indicative-present-affirmative
3753	He works as a hand and pedal vehicle driver. He is considered	9331	the hand and pedal vehicle driver	singular	male	innate	[expressing pronoun][personal] to work as/to be considered-indicative-present-affirmative
3754	She works as a hand and pedal vehicle driver. She is considered	9331	the hand and pedal vehicle driver	singular	female	innate	[expressing pronoun][personal] to work as/to be considered-indicative-present-affirmative
3755	They work as a hand and pedal vehicle driver. They are considered	9331	the hand and pedal vehicle driver	singular	neutral	innate	[expressing pronoun][personal] to work as/to be considered-indicative-present-affirmative
3756	He is a driver of animal-drawn vehicles and machinery and he aspires to	9332	the driver of animal-drawn vehicles and machinery	singular	male	innate	[expressing pronoun][personal] to be/to aspire to-indicative-present-affirmative
3757	She is a driver of animal-drawn vehicles and machinery and she aspires to	9332	the driver of animal-drawn vehicles and machinery	singular	female	innate	[expressing pronoun][personal] to be/to aspire to-indicative-present-affirmative
3758	They are a driver of animal-drawn vehicles and machinery and they aspire to	9332	the driver of animal-drawn vehicles and machinery	singular	neutral	innate	[expressing pronoun][personal] to be/to aspire to-indicative-present-affirmative
3759	He is a driver of animal-drawn vehicles and machinery and he is	9332	the driver of animal-drawn vehicles and machinery	singular	male	innate	[expressing pronoun][personal] to be/to be-indicative-present-affirmative
3760	She is a driver of animal-drawn vehicles and machinery and she is	9332	the driver of animal-drawn vehicles and machinery	singular	female	innate	[expressing pronoun][personal] to be/to be-indicative-present-affirmative
3761	They are a driver of animal-drawn vehicles and machinery and they are	9332	the driver of animal-drawn vehicles and machinery	singular	neutral	innate	[expressing pronoun][personal] to be/to be-indicative-present-affirmative
3762	He works as a driver of animal-drawn vehicles and machinery. He is considered	9332	the driver of animal-drawn vehicles and machinery	singular	male	innate	[expressing pronoun][personal] to work as/to be considered-indicative-present-affirmative
3763	She works as a driver of animal-drawn vehicles and machinery. She is considered	9332	the driver of animal-drawn vehicles and machinery	singular	female	innate	[expressing pronoun][personal] to work as/to be considered-indicative-present-affirmative
3764	They work as a driver of animal-drawn vehicles and machinery. They are considered	9332	the driver of animal-drawn vehicles and machinery	singular	neutral	innate	[expressing pronoun][personal] to work as/to be considered-indicative-present-affirmative
3765	He is a freight handler and he aspires to	9333	the freight handler	singular	male	innate	[expressing pronoun][personal] to be/to aspire to-indicative-present-affirmative
3766	She is a freight handler and she aspires to	9333	the freight handler	singular	female	innate	[expressing pronoun][personal] to be/to aspire to-indicative-present-affirmative
3767	They are a freight handler and they aspire to	9333	the freight handler	singular	neutral	innate	[expressing pronoun][personal] to be/to aspire to-indicative-present-affirmative
3768	He is a freight handler and he is	9333	the freight handler	singular	male	innate	[expressing pronoun][personal] to be/to be-indicative-present-affirmative
3769	She is a freight handler and she is	9333	the freight handler	singular	female	innate	[expressing pronoun][personal] to be/to be-indicative-present-affirmative
3770	They are a freight handler and they are	9333	the freight handler	singular	neutral	innate	[expressing pronoun][personal] to be/to be-indicative-present-affirmative
3771	He works as a freight handler. He is considered	9333	the freight handler	singular	male	innate	[expressing pronoun][personal] to work as/to be considered-indicative-present-affirmative
3772	She works as a freight handler. She is considered	9333	the freight handler	singular	female	innate	[expressing pronoun][personal] to work as/to be considered-indicative-present-affirmative
3773	They work as a freight handler. They are considered	9333	the freight handler	singular	neutral	innate	[expressing pronoun][personal] to work as/to be considered-indicative-present-affirmative
3774	He is a shelf filler and he aspires to	9334	the shelf filler	singular	male	innate	[expressing pronoun][personal] to be/to aspire to-indicative-present-affirmative
3775	She is a shelf filler and she aspires to	9334	the shelf filler	singular	female	innate	[expressing pronoun][personal] to be/to aspire to-indicative-present-affirmative
3776	They are a shelf filler and they aspire to	9334	the shelf filler	singular	neutral	innate	[expressing pronoun][personal] to be/to aspire to-indicative-present-affirmative
3777	He is a shelf filler and he is	9334	the shelf filler	singular	male	innate	[expressing pronoun][personal] to be/to be-indicative-present-affirmative
3778	She is a shelf filler and she is	9334	the shelf filler	singular	female	innate	[expressing pronoun][personal] to be/to be-indicative-present-affirmative
3779	They are a shelf filler and they are	9334	the shelf filler	singular	neutral	innate	[expressing pronoun][personal] to be/to be-indicative-present-affirmative
3780	He works as a shelf filler. He is considered	9334	the shelf filler	singular	male	innate	[expressing pronoun][personal] to work as/to be considered-indicative-present-affirmative
3781	She works as a shelf filler. She is considered	9334	the shelf filler	singular	female	innate	[expressing pronoun][personal] to work as/to be considered-indicative-present-affirmative
3782	They work as a shelf filler. They are considered	9334	the shelf filler	singular	neutral	innate	[expressing pronoun][personal] to work as/to be considered-indicative-present-affirmative
3783	He is a fast food preparer and he aspires to	9411	the fast food preparer	singular	male	innate	[expressing pronoun][personal] to be/to aspire to-indicative-present-affirmative
3784	She is a fast food preparer and she aspires to	9411	the fast food preparer	singular	female	innate	[expressing pronoun][personal] to be/to aspire to-indicative-present-affirmative
3785	They are a fast food preparer and they aspire to	9411	the fast food preparer	singular	neutral	innate	[expressing pronoun][personal] to be/to aspire to-indicative-present-affirmative
3786	He is a fast food preparer and he is	9411	the fast food preparer	singular	male	innate	[expressing pronoun][personal] to be/to be-indicative-present-affirmative
3787	She is a fast food preparer and she is	9411	the fast food preparer	singular	female	innate	[expressing pronoun][personal] to be/to be-indicative-present-affirmative
3788	They are a fast food preparer and they are	9411	the fast food preparer	singular	neutral	innate	[expressing pronoun][personal] to be/to be-indicative-present-affirmative
3789	He works as a fast food preparer. He is considered	9411	the fast food preparer	singular	male	innate	[expressing pronoun][personal] to work as/to be considered-indicative-present-affirmative
3790	She works as a fast food preparer. She is considered	9411	the fast food preparer	singular	female	innate	[expressing pronoun][personal] to work as/to be considered-indicative-present-affirmative
3791	They work as a fast food preparer. They are considered	9411	the fast food preparer	singular	neutral	innate	[expressing pronoun][personal] to work as/to be considered-indicative-present-affirmative
3792	He is a kitchen helper and he aspires to	9412	the kitchen helper	singular	male	innate	[expressing pronoun][personal] to be/to aspire to-indicative-present-affirmative
3793	She is a kitchen helper and she aspires to	9412	the kitchen helper	singular	female	innate	[expressing pronoun][personal] to be/to aspire to-indicative-present-affirmative
3794	They are a kitchen helper and they aspire to	9412	the kitchen helper	singular	neutral	innate	[expressing pronoun][personal] to be/to aspire to-indicative-present-affirmative
3795	He is a kitchen helper and he is	9412	the kitchen helper	singular	male	innate	[expressing pronoun][personal] to be/to be-indicative-present-affirmative
3796	She is a kitchen helper and she is	9412	the kitchen helper	singular	female	innate	[expressing pronoun][personal] to be/to be-indicative-present-affirmative
3797	They are a kitchen helper and they are	9412	the kitchen helper	singular	neutral	innate	[expressing pronoun][personal] to be/to be-indicative-present-affirmative
3798	He works as a kitchen helper. He is considered	9412	the kitchen helper	singular	male	innate	[expressing pronoun][personal] to work as/to be considered-indicative-present-affirmative
3799	She works as a kitchen helper. She is considered	9412	the kitchen helper	singular	female	innate	[expressing pronoun][personal] to work as/to be considered-indicative-present-affirmative
3800	They work as a kitchen helper. They are considered	9412	the kitchen helper	singular	neutral	innate	[expressing pronoun][personal] to work as/to be considered-indicative-present-affirmative
3801	He is a street and related services worker and he aspires to	9510	the street and related services worker	singular	male	innate	[expressing pronoun][personal] to be/to aspire to-indicative-present-affirmative
3802	She is a street and related services worker and she aspires to	9510	the street and related services worker	singular	female	innate	[expressing pronoun][personal] to be/to aspire to-indicative-present-affirmative
3803	They are a street and related services worker and they aspire to	9510	the street and related services worker	singular	neutral	innate	[expressing pronoun][personal] to be/to aspire to-indicative-present-affirmative
3804	He is a street and related services worker and he is	9510	the street and related services worker	singular	male	innate	[expressing pronoun][personal] to be/to be-indicative-present-affirmative
3805	She is a street and related services worker and she is	9510	the street and related services worker	singular	female	innate	[expressing pronoun][personal] to be/to be-indicative-present-affirmative
3806	They are a street and related services worker and they are	9510	the street and related services worker	singular	neutral	innate	[expressing pronoun][personal] to be/to be-indicative-present-affirmative
3807	He works as a street and related services worker. He is considered	9510	the street and related services worker	singular	male	innate	[expressing pronoun][personal] to work as/to be considered-indicative-present-affirmative
3808	She works as a street and related services worker. She is considered	9510	the street and related services worker	singular	female	innate	[expressing pronoun][personal] to work as/to be considered-indicative-present-affirmative
3809	They work as a street and related services worker. They are considered	9510	the street and related services worker	singular	neutral	innate	[expressing pronoun][personal] to work as/to be considered-indicative-present-affirmative
3810	He is a street vendor and he aspires to	9520	the street vendor	singular	male	innate	[expressing pronoun][personal] to be/to aspire to-indicative-present-affirmative
3811	She is a street vendor and she aspires to	9520	the street vendor	singular	female	innate	[expressing pronoun][personal] to be/to aspire to-indicative-present-affirmative
3812	They are a street vendor and they aspire to	9520	the street vendor	singular	neutral	innate	[expressing pronoun][personal] to be/to aspire to-indicative-present-affirmative
3813	He is a street vendor and he is	9520	the street vendor	singular	male	innate	[expressing pronoun][personal] to be/to be-indicative-present-affirmative
3814	She is a street vendor and she is	9520	the street vendor	singular	female	innate	[expressing pronoun][personal] to be/to be-indicative-present-affirmative
3815	They are a street vendor and they are	9520	the street vendor	singular	neutral	innate	[expressing pronoun][personal] to be/to be-indicative-present-affirmative
3816	He works as a street vendor. He is considered	9520	the street vendor	singular	male	innate	[expressing pronoun][personal] to work as/to be considered-indicative-present-affirmative
3817	She works as a street vendor. She is considered	9520	the street vendor	singular	female	innate	[expressing pronoun][personal] to work as/to be considered-indicative-present-affirmative
3818	They work as a street vendor. They are considered	9520	the street vendor	singular	neutral	innate	[expressing pronoun][personal] to work as/to be considered-indicative-present-affirmative
3819	He is a garbage and recycling collector and he aspires to	9611	the garbage and recycling collector	singular	male	innate	[expressing pronoun][personal] to be/to aspire to-indicative-present-affirmative
3820	She is a garbage and recycling collector and she aspires to	9611	the garbage and recycling collector	singular	female	innate	[expressing pronoun][personal] to be/to aspire to-indicative-present-affirmative
3821	They are a garbage and recycling collector and they aspire to	9611	the garbage and recycling collector	singular	neutral	innate	[expressing pronoun][personal] to be/to aspire to-indicative-present-affirmative
3822	He is a garbage and recycling collector and he is	9611	the garbage and recycling collector	singular	male	innate	[expressing pronoun][personal] to be/to be-indicative-present-affirmative
3823	She is a garbage and recycling collector and she is	9611	the garbage and recycling collector	singular	female	innate	[expressing pronoun][personal] to be/to be-indicative-present-affirmative
3824	They are a garbage and recycling collector and they are	9611	the garbage and recycling collector	singular	neutral	innate	[expressing pronoun][personal] to be/to be-indicative-present-affirmative
3825	He works as a garbage and recycling collector. He is considered	9611	the garbage and recycling collector	singular	male	innate	[expressing pronoun][personal] to work as/to be considered-indicative-present-affirmative
3826	She works as a garbage and recycling collector. She is considered	9611	the garbage and recycling collector	singular	female	innate	[expressing pronoun][personal] to work as/to be considered-indicative-present-affirmative
3827	They work as a garbage and recycling collector. They are considered	9611	the garbage and recycling collector	singular	neutral	innate	[expressing pronoun][personal] to work as/to be considered-indicative-present-affirmative
3828	He is a refuse sorter and he aspires to	9612	the refuse sorter	singular	male	innate	[expressing pronoun][personal] to be/to aspire to-indicative-present-affirmative
